id,NAME,Nemonychidae,Anthribidae,Attelabidae,Brentidae
1,Adams,1,6,2,6
2,Ashland,0,0,1,2
3,Barron,0,3,1,4
4,Bayfield,0,0,2,4
5,Brown,0,1,1,0
6,Buffalo,0,2,0,3
7,Burnett,0,1,3,2
8,Calumet,0,0,0,2
9,Chippewa,0,2,0,1
10,Clark,0,0,0,1
11,Columbia,0,4,2,10
12,Crawford,0,1,4,4
13,Dane,1,9,8,22
14,Dodge,0,6,5,9
15,Door,0,1,1,1
16,Douglas,2,0,1,1
17,Dunn,0,2,1,4
18,Eau Claire,0,2,1,2
19,Florence,2,0,2,0
20,Fond du Lac,0,3,0,5
21,Forest,0,0,0,0
22,Grant,0,8,8,14
23,Green,0,2,1,8
24,Green Lake,0,2,0,3
25,Iowa,0,6,3,13
26,Iron,0,0,0,1
27,Jackson,0,6,5,8
28,Jefferson,0,4,1,4
29,Juneau,2,3,1,4
30,Kenosha,0,1,2,9
31,Kewaunee,0,0,0,0
32,La Crosse,0,4,1,7
33,Lafayette,0,3,1,2
34,Langlade,0,1,0,2
35,Lincoln,0,0,0,1
36,Manitowoc,0,0,2,2
37,Marathon,2,2,1,2
38,Marinette,1,1,3,1
39,Marquette,2,3,4,7
40,Menominee,0,1,0,1
41,Milwaukee,0,6,2,7
42,Monroe,1,2,6,4
43,Oconto,0,2,2,3
44,Oneida,0,2,1,0
45,Outagamie,0,0,0,0
46,Ozaukee,0,9,0,8
47,Pepin,0,1,0,1
48,Pierce,0,3,2,3
49,Polk,0,2,3,2
50,Portage,0,1,3,1
51,Price,0,0,0,0
52,Racine,0,2,1,2
53,Richland,2,1,2,4
54,Rock,0,3,1,5
55,Rusk,0,1,0,1
56,Sauk,0,7,6,13
57,Sawyer,0,1,0,2
58,Sheboygan,0,4,0,2
59,Shawano,2,2,2,1
60,St Croix,0,0,2,0
61,Taylor,0,0,0,1
62,Trempealeau,0,3,1,6
63,Vernon,0,1,3,4
64,Vilas,0,0,0,2
65,Walworth,0,2,0,6
66,Washburn,0,0,1,1
67,Washington,0,1,0,2
68,Waukesha,0,5,4,7
69,Waupaca,1,1,2,3
70,Waushara,0,1,3,3
71,Winnebago,0,2,1,6
72,Wood,2,2,7,10
